,nome,nos,arcos,a/g,gmax,gmin,max_fm,max_cmin,nreq,mreq,max_reqs,max_reqc,std_reqs,std_reqc,LB,obj,metodo,tempo,semente,GAP
1186,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,85,criaantes_bfd cm_fm,77.4774022102356,1900,0.1038961038961039
1187,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,85,criaantes_bfd fm_cm,77.35424089431763,1900,0.1038961038961039
1188,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,89,criaantes_ffd cm,76.80994534492493,1900,0.15584415584415584
1189,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,93,criaantes_ffd fm,76.97107195854187,1900,0.2077922077922078
1190,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,89,criaantes_ffd cm_fm,76.85358190536499,1900,0.15584415584415584
1191,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,89,criaantes_ffd fm_cm,76.9205367565155,1900,0.15584415584415584
1192,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,criasemlim_bfd cm,77.71326541900635,1900,0.12987012987012986
1193,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,criasemlim_bfd fm,77.8751335144043,1900,0.19480519480519481
1194,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,criasemlim_bfd cm_fm,77.90074706077576,1900,0.12987012987012986
1195,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,criasemlim_bfd fm_cm,77.91167449951172,1900,0.12987012987012986
1196,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,criasemlim_ffd cm,76.64223432540894,1900,0.19480519480519481
1197,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,98,criasemlim_ffd fm,77.29604387283325,1900,0.2727272727272727
1198,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,criasemlim_ffd cm_fm,76.80209016799927,1900,0.19480519480519481
1199,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,criasemlim_ffd fm_cm,76.86300706863403,1900,0.19480519480519481
1200,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_bfd cm,71.28951954841614,1000,0.047619047619047616
1201,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,kapov_bfd fm,72.39301300048828,1000,0.05952380952380952
1202,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_bfd cm_fm,71.37705159187317,1000,0.047619047619047616
1203,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_bfd fm_cm,71.36180686950684,1000,0.047619047619047616
1204,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,kapov_ffd cm,71.22555208206177,1000,0.03571428571428571
1205,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,kapov_ffd fm,71.91355562210083,1000,0.05952380952380952
1206,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,kapov_ffd cm_fm,71.08671522140503,1000,0.03571428571428571
1207,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,kapov_ffd fm_cm,71.20481181144714,1000,0.03571428571428571
1208,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_bfd cm,71.16934204101562,1000,0.05952380952380952
1209,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,90,criaantes_bfd fm,71.61346530914307,1000,0.07142857142857142
1210,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_bfd cm_fm,71.1553909778595,1000,0.05952380952380952
1211,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_bfd fm_cm,71.08271169662476,1000,0.05952380952380952
1212,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criaantes_ffd cm,71.1751000881195,1000,0.03571428571428571
1213,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_ffd fm,71.72108936309814,1000,0.05952380952380952
1214,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criaantes_ffd cm_fm,71.1885712146759,1000,0.03571428571428571
1215,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criaantes_ffd fm_cm,71.2195954322815,1000,0.03571428571428571
1216,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_bfd cm,72.10163378715515,1000,0.047619047619047616
1217,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criasemlim_bfd fm,72.05031156539917,1000,0.05952380952380952
1218,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_bfd cm_fm,72.25782132148743,1000,0.047619047619047616
1219,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_bfd fm_cm,72.34839653968811,1000,0.047619047619047616
1220,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criasemlim_ffd cm,71.72720623016357,1000,0.03571428571428571
1221,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criasemlim_ffd fm,71.58660674095154,1000,0.05952380952380952
